"","x"
"1",25231635.2590535
"2",137660491.773533
"3",1200406.12255798
"4",247626.833332576
"5",165587.995587329
"6",1290.3723508351
"7",98030.0703112764
"8",405306.832249197
"9",1247937.69730141
"10",16136948639.99
"11",298920.65372539
"12",15.7440150958868
"13",27525940.8193899
"14",552107102.946279
"15",219707.203617693
"16",5794392906.9877
"17",10106403.6408826
"18",417713006154.989
"19",1896.78702058913
"20",941340.631241655
"21",179134369.937622
"22",1.66282892724992
"23",85682867.0708837
"24",5021857.07800762
"25",1256278936669.41
"26",3886952.84548567
"27",2261965.29203072
"28",6881884284.663
"29",47628054.2133202
"30",18835958.2037932
"31",1671879.20089336
"32",13299333153.629
"33",2292.45880517942
"34",2144215566.42146
"35",6143270.78367303
"36",3938671642.25559
"37",137109442202.391
"38",83819348667.2991
"39",1385177.10456738
"40",3874.84328541812
"41",30056630136.0618
"42",5260.8376754354
"43",32318720.5719291
"44",3055166.13856995
"45",1175987899.61845
"46",264191.806281139
"47",71862.3333927008
"48",690476.602113153
"49",124303.135423365
"50",22760352873.7161
"51",9782806.81502595
"52",13519729.1834375
"53",8382703.2964613
"54",8505396.46243443
"55",12089696.6023657
"56",50596.9760691404
"57",448451.928369343
"58",412307.529979165
"59",3.54121014780415
"60",115049797.243656
"61",814330.656640191
"62",732472313.056331
"63",2016026850.77679
"64",66.3143023134387
"65",110618190.118371
"66",252728.646097828
"67",22062439778.4602
"68",143128808.989375
"69",85058.5387163944
"70",704222.279108767
"71",6223.87075114885
"72",11036744.1481205
"73",18288861152.1574
"74",25595322009.2146
"75",1052172859.65007
"76",3271497573.4542
"77",999359.377234798
"78",108062944.982214
"79",2035019212.01089
"80",68.0413671550684
"81",1639523382.67661
"82",9410058.11832489
"83",2580938.78264404
"84",36767370075.1955
"85",319059864.947068
"86",65046.9361045229
"87",14821108.2470241
"88",644798.340900095
"89",660398696.883176
"90",51993514.8718767
"91",2983078.14745901
"92",19497820429.9154
"93",12671653.5747946
"94",975631817.581319
"95",42794.45986817
"96",63636.2592938066
"97",45250580.0458536
"98",167473422317.102
"99",47621.0493094783
"100",1751737.98461431
"101",18.718033295083
"102",49372.69148185
"103",103478314.43338
"104",4472112217289.22
"105",8011.32814451436
"106",1652508.05311475
"107",11514631636.2373
"108",22946898.6499216
"109",86666289.9156634
"110",60424300563.342
"111",3978016.8873041
"112",54068006895.1177
"113",8208627.77534712
"114",140241435798468
"115",1629856.11230826
"116",66699889930.1118
"117",10802956349.8843
"118",997259810.788877
"119",22282069.6644586
"120",2196471829.12524
"121",85449797.0929511
"122",25622790.5081751
"123",4912.29626360664
"124",63283082630.6203
"125",43269.1840827057
"126",14401999.1659699
"127",10155795.546723
"128",397543265.132293
"129",1256160.41742358
"130",30682377.0941162
"131",5527136558.0727
"132",294071519.006864
"133",1302054.99746311
"134",381276494.263753
"135",274939685845.361
"136",14329111.4525039
"137",98836.7718773
"138",1602032326.65895
"139",14098277171.2194
"140",562476189118.81
